optimizer,size,chinchilla,loss_min,loss_baseline,n_ablations,loss_ablation_median,loss_ablation_worst
adamw,1.2b,1,2.904270648956299,2.9054462909698486,19,2.9096968173980713,7.34722089767456
adamw,1.2b,2,2.835987091064453,2.835987091064453,0,,
adamw,1.2b,4,2.7871193885803223,2.7871193885803223,0,,
adamw,1.2b,8,2.752276659011841,2.752276659011841,0,,
adamw,130m,1,3.5291428565979004,3.5291428565979004,18,3.5383599996566772,7.780568599700928
adamw,130m,2,3.4077868461608887,3.4092094898223877,19,3.416566848754883,7.840256690979004
adamw,130m,4,3.3216564655303955,3.3216564655303955,20,3.3305013179779053,7.561909198760986
adamw,130m,8,3.260563611984253,3.2616419792175293,20,3.2697025537490845,7.658133029937744
adamw,130m,16,3.207158088684082,3.207158088684082,0,,
adamw,300m,1,3.262937307357788,3.263505697250366,19,3.2750980854034424,7.783678531646728
adamw,300m,2,3.1635448932647705,3.1657376289367676,3,3.1693174839019775,3.183974266052246
adamw,300m,4,3.094308853149414,3.094308853149414,3,3.1026270389556885,3.1034507751464844
adamw,300m,8,3.042271375656128,3.04297399520874,3,3.057081937789917,3.058756113052368
adamw,300m,16,3.0006392002105713,3.0006392002105713,0,,
adamw,520m,1,3.1041314601898193,3.109556198120117,20,3.130569338798523,7.836711406707764
adamw,520m,2,3.0231785774230957,3.0231785774230957,2,4.83972692489624,6.654116630554199
adamw,520m,4,2.958468198776245,2.958468198776245,3,7.0745697021484375,7.1394524574279785
adamw,520m,8,2.912761926651001,2.912761926651001,3,6.932138919830322,7.182616233825684
cautious,130m,1,3.532454490661621,3.5345098972320557,18,3.541164994239807,7.801988124847412
cautious,130m,2,3.4009084701538086,3.402977705001831,19,3.414868116378784,11.7617826461792
cautious,130m,4,3.3273122310638428,3.3320846557617188,3,3.350337505340576,6.97850227355957
cautious,130m,8,3.2501556873321533,3.252967119216919,20,3.2581595182418823,11.761780738830566
cautious,300m,1,3.2586865425109863,3.259650230407715,13,3.270664930343628,138172780511232.0
cautious,300m,2,3.1648194789886475,3.1648194789886475,2,3.1733195781707764,3.175487995147705
cautious,300m,4,3.093841075897217,3.093841075897217,2,3.106307029724121,3.114278554916382
cautious,300m,8,3.0409443378448486,3.0432467460632324,2,3.0558087825775146,3.0706732273101807
cautious,520m,1,3.100316047668457,3.100316047668457,20,3.1211345195770264,80078.5
cautious,520m,2,3.017448663711548,3.017448663711548,2,6478.257728338242,12953.49609375
cautious,520m,4,2.95566987991333,2.95566987991333,2,2.9648354053497314,2.9707610607147217
cautious,520m,8,2.9101526737213135,2.9101526737213135,2,2.925022006034851,2.931103467941284
kron,130m,1,3.4907355308532715,3.492459774017334,22,3.4990063905715942,7.837914943695068
kron,130m,2,3.388023376464844,3.3886427879333496,22,3.3931350708007812,7.458396434783936
kron,130m,4,3.3028366565704346,3.3066134452819824,23,3.3130953311920166,7.492156982421875
kron,130m,8,3.238511800765991,3.238511800765991,23,3.242358922958374,7.5037126541137695
kron,300m,1,3.2414581775665283,3.2441420555114746,22,3.247744917869568,7.635653972625732
kron,300m,2,3.1508798599243164,3.1508798599243164,1,3.1569161415100098,3.1569161415100098
kron,300m,4,3.083432674407959,3.083432674407959,1,3.0895674228668213,3.0895674228668213
kron,300m,8,3.031358480453491,3.031358480453491,1,3.074317216873169,3.074317216873169
kron,520m,1,3.0836100578308105,3.0836100578308105,21,3.09328031539917,7.01833438873291
kron,520m,2,3.008941411972046,3.0094680786132812,1,3.008941411972046,3.008941411972046
kron,520m,4,2.946164131164551,2.946164131164551,1,2.950037717819214,2.950037717819214
kron,520m,8,2.90018892288208,2.90018892288208,2,2.905229091644287,2.908565044403076
lion,130m,1,3.549180746078491,3.55153751373291,25,3.558671712875366,7.839870929718018
lion,130m,2,3.4087886810302734,3.4091198444366455,22,3.4272494316101074,7.862617492675781
lion,130m,4,3.3292596340179443,3.3305540084838867,23,3.3383827209472656,97.6626205444336
lion,130m,8,3.2508106231689453,3.251647710800171,22,3.264785885810852,7.829463958740234
lion,300m,1,3.2675621509552,3.2682037353515625,22,3.2772960662841797,7.86298418045044
lion,300m,2,3.170240879058838,3.170240879058838,4,3.1791155338287354,3.1887495517730713
lion,300m,4,3.1004343032836914,3.1004343032836914,4,3.1046451330184937,3.1139070987701416
