run_id,intervention,intervention_class,compute,role,seed,status,bpb,downstream,params_n,tokens_d,notes
baseline_adamw__c1__s0,baseline_adamw,optimizer,1.0,fit,0,pending,,,,,
baseline_adamw__c1__s1,baseline_adamw,optimizer,1.0,fit,1,pending,,,,,
baseline_adamw__c1__s2,baseline_adamw,optimizer,1.0,fit,2,pending,,,,,
baseline_adamw__c2__s0,baseline_adamw,optimizer,2.0,fit,0,pending,,,,,
baseline_adamw__c2__s1,baseline_adamw,optimizer,2.0,fit,1,pending,,,,,
baseline_adamw__c2__s2,baseline_adamw,optimizer,2.0,fit,2,pending,,,,,
baseline_adamw__c4__s0,baseline_adamw,optimizer,4.0,fit,0,pending,,,,,
baseline_adamw__c4__s1,baseline_adamw,optimizer,4.0,fit,1,pending,,,,,
baseline_adamw__c4__s2,baseline_adamw,optimizer,4.0,fit,2,pending,,,,,
baseline_adamw__c16__s0,baseline_adamw,optimizer,16.0,target,0,pending,,,,,
baseline_adamw__c16__s1,baseline_adamw,optimizer,16.0,target,1,pending,,,,,
baseline_adamw__c16__s2,baseline_adamw,optimizer,16.0,target,2,pending,,,,,
adamw_lower_lr__c1__s0,adamw_lower_lr,optimizer,1.0,fit,0,pending,,,,,
adamw_lower_lr__c1__s1,adamw_lower_lr,optimizer,1.0,fit,1,pending,,,,,
adamw_lower_lr__c1__s2,adamw_lower_lr,optimizer,1.0,fit,2,pending,,,,,
adamw_lower_lr__c2__s0,adamw_lower_lr,optimizer,2.0,fit,0,pending,,,,,
adamw_lower_lr__c2__s1,adamw_lower_lr,optimizer,2.0,fit,1,pending,,,,,
adamw_lower_lr__c2__s2,adamw_lower_lr,optimizer,2.0,fit,2,pending,,,,,
adamw_lower_lr__c4__s0,adamw_lower_lr,optimizer,4.0,fit,0,pending,,,,,
adamw_lower_lr__c4__s1,adamw_lower_lr,optimizer,4.0,fit,1,pending,,,,,
adamw_lower_lr__c4__s2,adamw_lower_lr,optimizer,4.0,fit,2,pending,,,,,
adamw_lower_lr__c16__s0,adamw_lower_lr,optimizer,16.0,target,0,pending,,,,,
adamw_lower_lr__c16__s1,adamw_lower_lr,optimizer,16.0,target,1,pending,,,,,
adamw_lower_lr__c16__s2,adamw_lower_lr,optimizer,16.0,target,2,pending,,,,,
adamw_longer_warmup__c1__s0,adamw_longer_warmup,schedule,1.0,fit,0,pending,,,,,
adamw_longer_warmup__c1__s1,adamw_longer_warmup,schedule,1.0,fit,1,pending,,,,,
adamw_longer_warmup__c1__s2,adamw_longer_warmup,schedule,1.0,fit,2,pending,,,,,
adamw_longer_warmup__c2__s0,adamw_longer_warmup,schedule,2.0,fit,0,pending,,,,,
adamw_longer_warmup__c2__s1,adamw_longer_warmup,schedule,2.0,fit,1,pending,,,,,
adamw_longer_warmup__c2__s2,adamw_longer_warmup,schedule,2.0,fit,2,pending,,,,,
adamw_longer_warmup__c4__s0,adamw_longer_warmup,schedule,4.0,fit,0,pending,,,,,
adamw_longer_warmup__c4__s1,adamw_longer_warmup,schedule,4.0,fit,1,pending,,,,,
adamw_longer_warmup__c4__s2,adamw_longer_warmup,schedule,4.0,fit,2,pending,,,,,
adamw_longer_warmup__c16__s0,adamw_longer_warmup,schedule,16.0,target,0,pending,,,,,
adamw_longer_warmup__c16__s1,adamw_longer_warmup,schedule,16.0,target,1,pending,,,,,
adamw_longer_warmup__c16__s2,adamw_longer_warmup,schedule,16.0,target,2,pending,,,,,
