convention,rows_matched
stacked_pred|one_b_default_seed|higher|tie=1,52
stacked_pred|one_b_default_seed|higher|tie=0.5,47
stacked_pred|step_2_y|higher|tie=1,41
stacked_pred|one_b_default_seed|higher|tie=0,41
stacked_pred|step_2_y|higher|tie=0.5,36
stacked_pred|stacked_y|higher|tie=1,34
stacked_pred|step_2_y|higher|tie=0,32
stacked_pred|stacked_y|higher|tie=0.5,30
stacked_pred|stacked_y|higher|tie=0,28
step_2_pred|one_b_default_seed|higher|tie=1,17
step_2_pred|one_b_default_seed|higher|tie=0,15
step_2_pred|one_b_default_seed|higher|tie=0.5,14
stacked_pred|one_b_three_seed_mean|higher|tie=1,8
stacked_pred|one_b_three_seed_mean|higher|tie=0.5,8
stacked_pred|one_b_three_seed_mean|higher|tie=0,8
step_2_pred|step_2_y|higher|tie=0,6
step_2_pred|step_2_y|higher|tie=1,6
step_2_pred|stacked_y|higher|tie=1,4
step_2_pred|stacked_y|higher|tie=0,4
step_2_pred|step_2_y|higher|tie=0.5,3
step_2_pred|one_b_three_seed_mean|higher|tie=1,2
step_2_pred|one_b_three_seed_mean|higher|tie=0.5,2
step_2_pred|one_b_three_seed_mean|higher|tie=0,2
step_2_pred|stacked_y|higher|tie=0.5,1
stacked_pred|one_b_default_seed|lower|tie=1,0
step_2_pred|step_2_y|lower|tie=1,0
step_2_pred|one_b_three_seed_mean|lower|tie=0.5,0
step_2_pred|one_b_three_seed_mean|lower|tie=0,0
step_2_pred|one_b_default_seed|lower|tie=1,0
step_2_pred|one_b_default_seed|lower|tie=0.5,0
step_2_pred|one_b_default_seed|lower|tie=0,0
stacked_pred|stacked_y|lower|tie=0,0
stacked_pred|stacked_y|lower|tie=0.5,0
stacked_pred|stacked_y|lower|tie=1,0
step_2_pred|step_2_y|lower|tie=0,0
step_2_pred|step_2_y|lower|tie=0.5,0
stacked_pred|one_b_default_seed|lower|tie=0.5,0
stacked_pred|step_2_y|lower|tie=0,0
stacked_pred|step_2_y|lower|tie=0.5,0
step_2_pred|stacked_y|lower|tie=1,0
step_2_pred|stacked_y|lower|tie=0.5,0
step_2_pred|stacked_y|lower|tie=0,0
stacked_pred|step_2_y|lower|tie=1,0
stacked_pred|one_b_default_seed|lower|tie=0,0
stacked_pred|one_b_three_seed_mean|lower|tie=1,0
stacked_pred|one_b_three_seed_mean|lower|tie=0.5,0
stacked_pred|one_b_three_seed_mean|lower|tie=0,0
step_2_pred|one_b_three_seed_mean|lower|tie=1,0
