metric,target,fit_scales,n_fit_budgets,include_750M,fit_bounds,ranking,fdr,n_seeds_min,n_pairs,projection_mis_selection,single_scale_mis_selection,projection_worse,projection_flips,single_scale_flips,excess_projection_flips,n_inherited,n_fit_error,n_repaired,n_fit_error_significant,n_inherited_significant,fit_error_share_of_flips,excess_is_all_fit_error,fit_error_exceeds_inherited
c4_en_bits_per_token,1B,4M-150M,10,False,bounded,seed_mean,BH@0.05,3,300,0.09,0.01,True,27,3,24,1,26,2,23,0,0.9629629629629629,True,True
c4_en_bits_per_token,1B,4M-150M,10,False,unconstrained,seed_mean,BH@0.05,3,300,0.09,0.01,True,27,3,24,1,26,2,23,0,0.9629629629629629,True,True
c4_en_bits_per_token,1B,4M-150M,10,True,bounded,seed_mean,BH@0.05,3,300,0.09,0.01,True,27,3,24,1,26,2,23,0,0.9629629629629629,True,True
c4_en_bits_per_token,1B,4M-150M,10,True,unconstrained,seed_mean,BH@0.05,3,300,0.09,0.01,True,27,3,24,1,26,2,23,0,0.9629629629629629,True,True
c4_en_bits_per_token,1B,14M-150M,6,False,bounded,seed_mean,BH@0.05,3,300,0.09333333333333334,0.01,True,28,3,25,0,28,3,26,0,1.0,True,True
c4_en_bits_per_token,1B,14M-150M,6,False,unconstrained,seed_mean,BH@0.05,3,300,0.17333333333333334,0.01,True,52,3,49,0,52,3,50,0,1.0,True,True
c4_en_bits_per_token,1B,14M-150M,6,True,bounded,seed_mean,BH@0.05,3,300,0.09333333333333334,0.01,True,28,3,25,0,28,3,26,0,1.0,True,True
c4_en_bits_per_token,1B,14M-150M,6,True,unconstrained,seed_mean,BH@0.05,3,300,0.17333333333333334,0.01,True,52,3,49,0,52,3,50,0,1.0,True,True
c4_en_bits_per_token,1B,60M-150M,3,False,bounded,seed_mean,BH@0.05,3,300,0.1,0.01,True,30,3,27,3,27,0,25,2,0.9,True,True
c4_en_bits_per_token,1B,60M-150M,3,False,unconstrained,seed_mean,BH@0.05,3,300,0.20666666666666667,0.01,True,62,3,59,3,59,0,58,2,0.9516129032258065,True,True
c4_en_bits_per_token,1B,60M-150M,3,True,bounded,seed_mean,BH@0.05,3,300,0.1,0.01,True,30,3,27,3,27,0,25,2,0.9,True,True
c4_en_bits_per_token,1B,60M-150M,3,True,unconstrained,seed_mean,BH@0.05,3,300,0.20666666666666667,0.01,True,62,3,59,3,59,0,58,2,0.9516129032258065,True,True
c4_en_bits_per_token,1B,4M-300M,11,False,bounded,seed_mean,BH@0.05,3,300,0.05333333333333334,0.013333333333333334,True,16,4,12,2,14,2,10,1,0.875,True,True
c4_en_bits_per_token,1B,4M-300M,11,False,unconstrained,seed_mean,BH@0.05,3,300,0.05333333333333334,0.013333333333333334,True,16,4,12,2,14,2,10,1,0.875,True,True
c4_en_bits_per_token,1B,4M-300M,11,True,bounded,seed_mean,BH@0.05,3,300,0.05333333333333334,0.013333333333333334,True,16,4,12,2,14,2,10,1,0.875,True,True
c4_en_bits_per_token,1B,4M-300M,11,True,unconstrained,seed_mean,BH@0.05,3,300,0.05333333333333334,0.013333333333333334,True,16,4,12,2,14,2,10,1,0.875,True,True
c4_en_bits_per_token,1B,14M-300M,7,False,bounded,seed_mean,BH@0.05,3,300,0.03,0.013333333333333334,True,9,4,5,2,7,2,5,1,0.7777777777777778,True,True
c4_en_bits_per_token,1B,14M-300M,7,False,unconstrained,seed_mean,BH@0.05,3,300,0.03,0.013333333333333334,True,9,4,5,2,7,2,5,1,0.7777777777777778,True,True
c4_en_bits_per_token,1B,14M-300M,7,True,bounded,seed_mean,BH@0.05,3,300,0.03,0.013333333333333334,True,9,4,5,2,7,2,5,1,0.7777777777777778,True,True
c4_en_bits_per_token,1B,14M-300M,7,True,unconstrained,seed_mean,BH@0.05,3,300,0.03,0.013333333333333334,True,9,4,5,2,7,2,5,1,0.7777777777777778,True,True
c4_en_bits_per_token,1B,60M-300M,4,False,bounded,seed_mean,BH@0.05,3,300,0.04666666666666667,0.013333333333333334,True,14,4,10,3,11,1,8,2,0.7857142857142857,True,True
c4_en_bits_per_token,1B,60M-300M,4,False,unconstrained,seed_mean,BH@0.05,3,300,0.04666666666666667,0.013333333333333334,True,14,4,10,3,11,1,8,2,0.7857142857142857,True,True
c4_en_bits_per_token,1B,60M-300M,4,True,bounded,seed_mean,BH@0.05,3,300,0.04666666666666667,0.013333333333333334,True,14,4,10,3,11,1,8,2,0.7857142857142857,True,True
c4_en_bits_per_token,1B,60M-300M,4,True,unconstrained,seed_mean,BH@0.05,3,300,0.04666666666666667,0.013333333333333334,True,14,4,10,3,11,1,8,2,0.7857142857142857,True,True
c4_en_bits_per_token,1B,4M-530M,12,False,bounded,seed_mean,BH@0.05,3,300,0.03,0.01,True,9,3,6,1,8,2,5,0,0.8888888888888888,True,True
c4_en_bits_per_token,1B,4M-530M,12,False,unconstrained,seed_mean,BH@0.05,3,300,0.03,0.01,True,9,3,6,1,8,2,5,0,0.8888888888888888,True,True
c4_en_bits_per_token,1B,4M-530M,12,True,bounded,seed_mean,BH@0.05,3,300,0.03,0.01,True,9,3,6,1,8,2,5,0,0.8888888888888888,True,True
c4_en_bits_per_token,1B,4M-530M,12,True,unconstrained,seed_mean,BH@0.05,3,300,0.03,0.01,True,9,3,6,1,8,2,5,0,0.8888888888888888,True,True
c4_en_bits_per_token,1B,14M-530M,8,False,bounded,seed_mean,BH@0.05,3,300,0.01,0.01,False,3,3,0,1,2,2,0,0,0.6666666666666666,,True
c4_en_bits_per_token,1B,14M-530M,8,False,unconstrained,seed_mean,BH@0.05,3,300,0.01,0.01,False,3,3,0,1,2,2,0,0,0.6666666666666666,,True
c4_en_bits_per_token,1B,14M-530M,8,True,bounded,seed_mean,BH@0.05,3,300,0.01,0.01,False,3,3,0,1,2,2,0,0,0.6666666666666666,,True
c4_en_bits_per_token,1B,14M-530M,8,True,unconstrained,seed_mean,BH@0.05,3,300,0.01,0.01,False,3,3,0,1,2,2,0,0,0.6666666666666666,,True
c4_en_bits_per_token,1B,60M-530M,5,False,bounded,seed_mean,BH@0.05,3,300,0.023333333333333334,0.01,True,7,3,4,3,4,0,2,0,0.5714285714285714,True,True
c4_en_bits_per_token,1B,60M-530M,5,False,unconstrained,seed_mean,BH@0.05,3,300,0.023333333333333334,0.01,True,7,3,4,3,4,0,2,0,0.5714285714285714,True,True
c4_en_bits_per_token,1B,60M-530M,5,True,bounded,seed_mean,BH@0.05,3,300,0.023333333333333334,0.01,True,7,3,4,3,4,0,2,0,0.5714285714285714,True,True
