n_seeds,target_gap,gap_over_sigma,ladder_gap,ladder_gap_over_sigma_small,true_crossover,n_trials,flip_rate,significance_rate,flip_and_significant_rate
3,0.0010324085735210226,0.5,0.011010932272961073,0.5,True,2000,0.6045,0.058,0.039
3,0.0010324085735210226,0.5,0.011010932272961073,0.5,False,2000,0.4885,0.0525,0.0245
3,0.0010324085735210226,0.5,0.022021864545922146,1.0,True,2000,0.6805,0.0505,0.0405
3,0.0010324085735210226,0.5,0.022021864545922146,1.0,False,2000,0.504,0.05,0.029
3,0.0010324085735210226,0.5,0.04404372909184429,2.0,True,2000,0.7395,0.049,0.0455
3,0.0010324085735210226,0.5,0.04404372909184429,2.0,False,2000,0.5025,0.055,0.0265
3,0.0020648171470420452,1.0,0.011010932272961073,0.5,True,2000,0.67,0.0935,0.07
3,0.0020648171470420452,1.0,0.011010932272961073,0.5,False,2000,0.4925,0.114,0.057
3,0.0020648171470420452,1.0,0.022021864545922146,1.0,True,2000,0.804,0.1095,0.0965
3,0.0020648171470420452,1.0,0.022021864545922146,1.0,False,2000,0.4745,0.111,0.054
3,0.0020648171470420452,1.0,0.04404372909184429,2.0,True,2000,0.886,0.113,0.1125
3,0.0020648171470420452,1.0,0.04404372909184429,2.0,False,2000,0.481,0.126,0.0635
3,0.0041296342940840905,2.0,0.011010932272961073,0.5,True,2000,0.7065,0.352,0.259
3,0.0041296342940840905,2.0,0.011010932272961073,0.5,False,2000,0.472,0.3645,0.172
3,0.0041296342940840905,2.0,0.022021864545922146,1.0,True,2000,0.8735,0.3635,0.3225
3,0.0041296342940840905,2.0,0.022021864545922146,1.0,False,2000,0.4635,0.3535,0.17
3,0.0041296342940840905,2.0,0.04404372909184429,2.0,True,2000,0.9865,0.366,0.365
3,0.0041296342940840905,2.0,0.04404372909184429,2.0,False,2000,0.433,0.3655,0.1625
3,0.008259268588168181,4.0,0.011010932272961073,0.5,True,2000,0.7355,0.885,0.6445
3,0.008259268588168181,4.0,0.011010932272961073,0.5,False,2000,0.424,0.891,0.383
3,0.008259268588168181,4.0,0.022021864545922146,1.0,True,2000,0.876,0.8835,0.776
3,0.008259268588168181,4.0,0.022021864545922146,1.0,False,2000,0.3945,0.8765,0.348
3,0.008259268588168181,4.0,0.04404372909184429,2.0,True,2000,0.9905,0.8875,0.879
3,0.008259268588168181,4.0,0.04404372909184429,2.0,False,2000,0.416,0.8825,0.371
3,0.016518537176336362,8.0,0.011010932272961073,0.5,True,2000,0.747,1.0,0.747
3,0.016518537176336362,8.0,0.011010932272961073,0.5,False,2000,0.3185,1.0,0.3185
3,0.016518537176336362,8.0,0.022021864545922146,1.0,True,2000,0.8865,1.0,0.8865
3,0.016518537176336362,8.0,0.022021864545922146,1.0,False,2000,0.3325,1.0,0.3325
3,0.016518537176336362,8.0,0.04404372909184429,2.0,True,2000,0.995,0.999,0.994
3,0.016518537176336362,8.0,0.04404372909184429,2.0,False,2000,0.3385,0.999,0.338
5,0.0010324085735210226,0.5,0.011010932272961073,0.5,True,2000,0.6625,0.083,0.0585
5,0.0010324085735210226,0.5,0.011010932272961073,0.5,False,2000,0.4965,0.093,0.0445
5,0.0010324085735210226,0.5,0.022021864545922146,1.0,True,2000,0.759,0.104,0.0905
5,0.0010324085735210226,0.5,0.022021864545922146,1.0,False,2000,0.4825,0.106,0.0535
5,0.0010324085735210226,0.5,0.04404372909184429,2.0,True,2000,0.7845,0.092,0.0905
5,0.0010324085735210226,0.5,0.04404372909184429,2.0,False,2000,0.478,0.0985,0.05
5,0.0020648171470420452,1.0,0.011010932272961073,0.5,True,2000,0.771,0.2655,0.209
5,0.0020648171470420452,1.0,0.011010932272961073,0.5,False,2000,0.4545,0.2725,0.1255
5,0.0020648171470420452,1.0,0.022021864545922146,1.0,True,2000,0.889,0.2595,0.242
5,0.0020648171470420452,1.0,0.022021864545922146,1.0,False,2000,0.473,0.2775,0.1335
5,0.0020648171470420452,1.0,0.04404372909184429,2.0,True,2000,0.9425,0.273,0.273
5,0.0020648171470420452,1.0,0.04404372909184429,2.0,False,2000,0.457,0.256,0.111
5,0.0041296342940840905,2.0,0.011010932272961073,0.5,True,2000,0.7625,0.7665,0.589
5,0.0041296342940840905,2.0,0.011010932272961073,0.5,False,2000,0.435,0.754,0.317
5,0.0041296342940840905,2.0,0.022021864545922146,1.0,True,2000,0.9385,0.764,0.719
5,0.0041296342940840905,2.0,0.022021864545922146,1.0,False,2000,0.452,0.76,0.3485
5,0.0041296342940840905,2.0,0.04404372909184429,2.0,True,2000,0.9985,0.7695,0.7685
5,0.0041296342940840905,2.0,0.04404372909184429,2.0,False,2000,0.435,0.77,0.3385
5,0.008259268588168181,4.0,0.011010932272961073,0.5,True,2000,0.79,0.999,0.789
5,0.008259268588168181,4.0,0.011010932272961073,0.5,False,2000,0.3905,1.0,0.3905
5,0.008259268588168181,4.0,0.022021864545922146,1.0,True,2000,0.945,0.9995,0.9445
5,0.008259268588168181,4.0,0.022021864545922146,1.0,False,2000,0.399,1.0,0.399
5,0.008259268588168181,4.0,0.04404372909184429,2.0,True,2000,0.9995,0.9995,0.999
5,0.008259268588168181,4.0,0.04404372909184429,2.0,False,2000,0.392,0.999,0.392
5,0.016518537176336362,8.0,0.011010932272961073,0.5,True,2000,0.7805,1.0,0.7805
5,0.016518537176336362,8.0,0.011010932272961073,0.5,False,2000,0.2665,1.0,0.2665
5,0.016518537176336362,8.0,0.022021864545922146,1.0,True,2000,0.949,1.0,0.949
5,0.016518537176336362,8.0,0.022021864545922146,1.0,False,2000,0.256,1.0,0.256
5,0.016518537176336362,8.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
5,0.016518537176336362,8.0,0.04404372909184429,2.0,False,2000,0.2835,1.0,0.2835
10,0.0010324085735210226,0.5,0.011010932272961073,0.5,True,2000,0.7545,0.184,0.152
10,0.0010324085735210226,0.5,0.011010932272961073,0.5,False,2000,0.505,0.183,0.094
10,0.0010324085735210226,0.5,0.022021864545922146,1.0,True,2000,0.85,0.18,0.1755
10,0.0010324085735210226,0.5,0.022021864545922146,1.0,False,2000,0.497,0.184,0.091
10,0.0010324085735210226,0.5,0.04404372909184429,2.0,True,2000,0.8605,0.1795,0.1785
10,0.0010324085735210226,0.5,0.04404372909184429,2.0,False,2000,0.479,0.1825,0.083
10,0.0020648171470420452,1.0,0.011010932272961073,0.5,True,2000,0.861,0.549,0.479
10,0.0020648171470420452,1.0,0.011010932272961073,0.5,False,2000,0.4625,0.54,0.245
10,0.0020648171470420452,1.0,0.022021864545922146,1.0,True,2000,0.976,0.5415,0.534
10,0.0020648171470420452,1.0,0.022021864545922146,1.0,False,2000,0.455,0.5295,0.2435
10,0.0020648171470420452,1.0,0.04404372909184429,2.0,True,2000,0.986,0.5695,0.5695
10,0.0020648171470420452,1.0,0.04404372909184429,2.0,False,2000,0.4615,0.555,0.248
10,0.0041296342940840905,2.0,0.011010932272961073,0.5,True,2000,0.874,0.9865,0.862
10,0.0041296342940840905,2.0,0.011010932272961073,0.5,False,2000,0.427,0.9885,0.4225
10,0.0041296342940840905,2.0,0.022021864545922146,1.0,True,2000,0.9905,0.992,0.9825
10,0.0041296342940840905,2.0,0.022021864545922146,1.0,False,2000,0.405,0.982,0.3975
10,0.0041296342940840905,2.0,0.04404372909184429,2.0,True,2000,1.0,0.99,0.99
10,0.0041296342940840905,2.0,0.04404372909184429,2.0,False,2000,0.436,0.987,0.431
10,0.008259268588168181,4.0,0.011010932272961073,0.5,True,2000,0.869,1.0,0.869
10,0.008259268588168181,4.0,0.011010932272961073,0.5,False,2000,0.344,1.0,0.344
10,0.008259268588168181,4.0,0.022021864545922146,1.0,True,2000,0.9875,1.0,0.9875
10,0.008259268588168181,4.0,0.022021864545922146,1.0,False,2000,0.3295,1.0,0.3295
10,0.008259268588168181,4.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
10,0.008259268588168181,4.0,0.04404372909184429,2.0,False,2000,0.33,1.0,0.33
10,0.016518537176336362,8.0,0.011010932272961073,0.5,True,2000,0.8515,1.0,0.8515
10,0.016518537176336362,8.0,0.011010932272961073,0.5,False,2000,0.1955,1.0,0.1955
10,0.016518537176336362,8.0,0.022021864545922146,1.0,True,2000,0.9885,1.0,0.9885
10,0.016518537176336362,8.0,0.022021864545922146,1.0,False,2000,0.21,1.0,0.21
10,0.016518537176336362,8.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
10,0.016518537176336362,8.0,0.04404372909184429,2.0,False,2000,0.2005,1.0,0.2005
20,0.0010324085735210226,0.5,0.011010932272961073,0.5,True,2000,0.8785,0.3355,0.3155
20,0.0010324085735210226,0.5,0.011010932272961073,0.5,False,2000,0.4775,0.3215,0.1505
20,0.0010324085735210226,0.5,0.022021864545922146,1.0,True,2000,0.95,0.347,0.347
20,0.0010324085735210226,0.5,0.022021864545922146,1.0,False,2000,0.489,0.3185,0.1585
20,0.0010324085735210226,0.5,0.04404372909184429,2.0,True,2000,0.943,0.35,0.35
20,0.0010324085735210226,0.5,0.04404372909184429,2.0,False,2000,0.4795,0.3345,0.1595
20,0.0020648171470420452,1.0,0.011010932272961073,0.5,True,2000,0.947,0.8745,0.8285
20,0.0020648171470420452,1.0,0.011010932272961073,0.5,False,2000,0.4415,0.862,0.3775
20,0.0020648171470420452,1.0,0.022021864545922146,1.0,True,2000,0.9985,0.8665,0.8655
20,0.0020648171470420452,1.0,0.022021864545922146,1.0,False,2000,0.433,0.8805,0.3755
20,0.0020648171470420452,1.0,0.04404372909184429,2.0,True,2000,0.9985,0.8645,0.8645
20,0.0020648171470420452,1.0,0.04404372909184429,2.0,False,2000,0.458,0.8785,0.401
20,0.0041296342940840905,2.0,0.011010932272961073,0.5,True,2000,0.945,1.0,0.945
20,0.0041296342940840905,2.0,0.011010932272961073,0.5,False,2000,0.391,1.0,0.391
20,0.0041296342940840905,2.0,0.022021864545922146,1.0,True,2000,0.9985,1.0,0.9985
20,0.0041296342940840905,2.0,0.022021864545922146,1.0,False,2000,0.4005,1.0,0.4005
20,0.0041296342940840905,2.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
20,0.0041296342940840905,2.0,0.04404372909184429,2.0,False,2000,0.384,1.0,0.384
20,0.008259268588168181,4.0,0.011010932272961073,0.5,True,2000,0.9375,1.0,0.9375
20,0.008259268588168181,4.0,0.011010932272961073,0.5,False,2000,0.28,1.0,0.28
20,0.008259268588168181,4.0,0.022021864545922146,1.0,True,2000,1.0,1.0,1.0
20,0.008259268588168181,4.0,0.022021864545922146,1.0,False,2000,0.279,1.0,0.279
20,0.008259268588168181,4.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
20,0.008259268588168181,4.0,0.04404372909184429,2.0,False,2000,0.269,1.0,0.269
20,0.016518537176336362,8.0,0.011010932272961073,0.5,True,2000,0.943,1.0,0.943
20,0.016518537176336362,8.0,0.011010932272961073,0.5,False,2000,0.1035,1.0,0.1035
20,0.016518537176336362,8.0,0.022021864545922146,1.0,True,2000,1.0,1.0,1.0
20,0.016518537176336362,8.0,0.022021864545922146,1.0,False,2000,0.12,1.0,0.12
20,0.016518537176336362,8.0,0.04404372909184429,2.0,True,2000,1.0,1.0,1.0
20,0.016518537176336362,8.0,0.04404372909184429,2.0,False,2000,0.12,1.0,0.12
